Degrees of freedom,0.05,,,,,
1,0.997,,,,,
2,0.950,,,,,
3,0.878,,,,,
4,0.811,,,,,
5,0.754,,,,,
6,0.707,,,,,
7,0.666,,,,,
8,0.632,,,,,
9,0.602,,,,,
10,0.576,,,,,
11,0.555,,,,,
12,0.532,,,,,
13,0.514,,,,,
14,0.497,,,,,
15,0.482,,,,,
16,0.468,,,,,
17,0.456,,,,,
18,0.444,,,,,
19,0.433,,,,,
20,0.423,,,,,
21,0.413,,,,,
22,0.404,,,,,
23,0.396,,,,,
24,0.388,,,,,
25,0.381,,,,,
26,0.374,,,,,
27,0.367,,,,,
28,0.361,,,,,
29,0.355,,,,,
30,0.349,,,,,
40,0.304,,,,,
50,0.273,,,,,
60,0.250,,,,,
70,0.232,,,,,
80,0.217,,,,,
90,0.205,,,,,
100,0.195,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,